adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
IRF8,MUC21,PRPS1,PRND,PSMC3IP,MAP6,SEC24B,RNASEL,TPH1,RAD17,NDUFC2,,ADH1B,,GIPC2,TSPAN31,COX20,GPR171,,GKAP1,LYZL6,,MYO7B,GABBR2,,ANKRD31,,RSAD1,RTCA,SPINT4,KLF17,DFFB,BRDT,CSTB,TMEM266,,CRYL1,ZNF654,NLGN3,,SGSH,CEND1,DLC1,,TMEM106C,TMEM184A,HLA-DQA1,TPPP3,VPS45,VPS36,TMEM62,MRC1,PSG11,,STXBP1,,SELL,SURF1,RASGEF1A,PGM2L1
RHOT2,DEFB121,IGSF1,RNASEH1,AOC3,OTP,PPP3CA,KIAA1614,CSRP3,PLOD2,ME3,,UGT2B15,,ARHGAP29,B4GALNT1,CR1,CD164L2,,FBP1,ENSG00000275778,,CHD3,HEMGN,,CRHBP,,MYCBPAP,SELENOI,LSM14B,AQP4,GKN1,RABGGTB,TRAPPC10,UGP2,,HEPACAM,CADM2,ADH7,,EDDM3B,C6orf58,C8orf48,,SLC38A2,NOS3,CLPSL2,AGRP,IL10,RNASEH2B,PAK6,C16orf95,PSG4,,ANGPTL2,,NANOS2,SURF2,RPL39,PHYHIPL
RPL3L,TRIM39,ARHGAP36,PRNP,ACLY,ECEL1,MTTP,NPL,E2F8,NRSN1,NUBPL,,WNK3,,CLCA2,FAIM2,FCGR3A,ZIC4,,CYBB,RIMBP3,,TMEM154,TRMO,,RASA1,,CHAD,HADHB,NUDT22,CYP4F11,APLF,IFI44L,ITGB2,LINGO1,,SKA3,PARL,CPNE4,,SETD2,TAFA3,SUN3,,YWHAQ,SPAG11B,S100A2,CARMIL2,KCTD3,CKAP2,ADAM10,TMEM178B,MICAL3,,TLR4,,INSC,REXO4,DZIP3,PHOX2A
NDUFB10,FOXB2,FATE1,KLF17,G6PC1,FGG,FBN2,NIBAN1,DCTD,JAKMIP1,ATP6V1G3,,TTC30B,,DBT,ESPL1,LORICRIN,ZG16,,PCDH19,PRSS2,,ALCAM,GOLGA1,,PAM,,TEX2,KHK,PLCB3,TLN2,RGPD8,GIPC2,RALGDS,RBMY1F,,LRR1,NPPA,NTNG2,,EDDM3A,SPDYE12,C7orf57,,KIDINS220,CA3,ADA,C16orf86,RPS6KC1,TBC1D4,DUOX1,ZNF865,STON1,,ALDOB,,SERPINA5,SLC25A25,ATG9A,MBL2
PDPK1,TRIM31,MAGEA4,AQP4,NDUFA2,FGA,PARVG,PIGC,SOX15,ZIC1,VIPAS39,,SLC30A10,,RTCA,KRT7,LELP1,DSG4,,PIGA,UHRF1,,UBE2E3,PDCL,,SLC30A5,,DCAF7,ADCY3,CDC42EP2,LGALS9C,HIC2,ARHGAP29,FTCD,ONECUT1,,DEPP1,MED16,ELAVL3,,ANKRD62,ODF4,HNF4G,,GRHL1,SLC4A2,PDLIM7,PIP,ZNG1B,THSD1,SLC28A2,PECAM1,IGKV1-12,,PRPF4,,NCCRP1,SH3GLB2,NOS1AP,CRYL1
TIGD7,HLA-G,ZNF185,CYP4F11,ANKHD1,FGB,B4GALNT3,LAMC1,RPAIN,ADGRA3,ANKRD50,,TLR7,,SELENOI,ZC3H10,KPRP,DES,,STRBP,CCL14,,TRAPPC1,ARPC5L,,SPATA9,,GH2,PNPT1,TM7SF2,SCG2,HEXD,IFI44,SPATC1L,P2RY1,,MAGEC3,GOLGA8A,FUT4,,P2RY13,RALYL,SLC30A8,,ROCK2,GBX1,FLNA,CCDC117,IL1RN,BORA,STRA6,TMEM249,EFNA4,,FPGS,,KRTDAP,MIGA2,DMD,HEPACAM
GALNS,MOG,CETN2,TLN2,DIAPH1,DSCAM,PDE6H,DOCK10,PLD2,CPB1,C4orf33,,ZFP62,,HADHB,ACVR1B,FAM24A,CADM2,,ZNF367,IGKV1D-13,,GPR37L1,ENPP2,,TNFAIP8,,CSH1,DYNC2LI1,HIRIP3,ATPAF2,DRD5,CLCA2,DIP2A,CTNND2,,NGB,CCNE2,SLC35F1,,MACIR,SEPTIN5,TNFRSF11B,,RSAD2,ALDH7A1,SLC39A10,ZNF222,CFC1,LRCH1,CYP19A1,HPR,C4orf48,,BAAT,,CFAP77,PTGES,MFAP3L,SKA3
GAS8,ODAD4,RPL10,LGALS9C,NDFIP1,DNAI2,ERP27,USP37,AIPL1,LGI2,FRMD4A,,ZNF33B,,KHK,MIP,PLPP4,PPM1E,,NLGN4Y,SRCIN1,,NSG2,DSCC1,,FEM1C,,LIMD2,SLC5A6,TAOK2,CYP4F22,SPNS1,DBT,S100B,MUC17,,NOXRED1,ANKS4B,EVL,,TMEM252,LRRC26,SBSPON,,CMPK2,COX6C,FAM163B,ZNF235,SMPD4,SUCLA2,BCL2L10,MIA,IGKV1-5,,ATP6V1G1,,HBA2,LCN2,COX20,DEPP1
NCOR1,IGFL4,CCDC25,ZNF217,EXOC4,P2RY6,ETV6,HTR2B,CD68,CENPH,SLC25A31,,HLA-DQA1,,ADCY3,LTV1,HSD3B1,PARL,,NOL6,GPIHBP1,,SPDYE5,DERL1,,ARHGAP26,,KAT7,SLC3A1,TMEM219,SHLD1,CHRNA5,RTCA,PRMT2,AHSP,,CDX2,CST6,SPANXD,,SLC9A9,BTBD6,DEFA5,,IAH1,BAALC,ANXA6,TNFRSF13C,WDR33,LMO7,RSL24D1,MYMX,AMY2A,,GARNL3,,CFAP54,HMCN2,CR1,MAGEC3
UTP4,NAT8B,HMBOX1,SCG2,ACAP3,BPTF,KIF21A,SLC19A3,TXNDC17,BANK1,PTPRO,,CLPSL2,,DYNC2LI1,MAP7,HSD3B2,NPPA,,AQP3,ENSG00000277535,,SERPINA6,CCN3,,LECT2,,SCN2A,EMILIN1,MPP7,LDHAL6B,GP9,SELENOI,ADAMTS13,WNT10B,,AMER2,PROP1,NOXO1,,SLC2A4,CLCNKB,DEFA4,,ANO3,TP53INP1,KRT35,CCDC28B,UGGT1,SCEL,SPTBN5,SPON1,TNFRSF6B,,MRPL50,,CLN3,LCN9,FCGR3A,ARF6
CTRL,KRT25,CHRNB3,CYP4F22,C1orf159,S100Z,CPNE8,CYP27A1,ATP1B2,ACMSD,VTI1A,,S100A2,,RAB1A,AFG1L,RBM20,ZNF408,,ARMC3,NEFL,,UBE2E1,DMAC1,,TIMD4,,TBR1,ATRAID,ITGB1,SYNPO,FASN,KHK,SLC2A6,REPS2,,AKR1E2,NRIP3,PRTN3,,GINS3,FMNL1,DEFA6,,IL6ST,C9orf24,SLC6A17,TMEM234,GYPC,ITM2B,GCOM1,C19orf84,UPK3B,,DPM2,,ASAH2,NOTCH1,LORICRIN,NGB
DPEP3,FBXO48,GNRH1,DRC3,ANO1,ATF7IP,YARS2,TGFBRAP1,MPDU1,CLGN,QDPR,,CD47,,ACTR2,AHI1,LIME1,ANKS4B,,CLDN2,RDM1,,CCDC144A,RANBP6,,RNF145,,MARCHF7,TRIM54,FXYD4,GAP43,ACTRT2,ADCY3,PIERCE1,ITGAM,,KBTBD6,PCSK1,NBPF4,,RTKN2,AQP12A,TMEM184A,,FST,PSIP1,ADAM32,BSDC1,STAM,SPRY2,GCHFR,ENSG00000263020,CFB,,GABBR2,,DPYD,NACC2,LELP1,NOXRED1
NOB1,FAM221B,BIN3,LDHAL6B,PPFIA1,RGS19,FGD4,C2orf49,PHF20L1,BMP6,MMAA,,ADA,,SLC5A6,PKIB,OOEP,CST6,,LRFN5,CT45A8,,CHRNB1,POLR1E,,C1QTNF2,,ERMN,DTNB,CWC15,REG1B,NRG4,DYNC2LI1,CFAP157,TM4SF4,,SSX5,TBC1D10C,CRYBA4,,MGAT4C,USP18,NOS3,,CDC73,NFIL3,SULT1A2,FNDC5,GAD2,EDNRB,BCAR3,NOTCH2NLA,LEFTY1,,HEMGN,,S100A16,COMMD3,KPRP,CDX2
PCTP,CD177,DOK2,SYNPO,TMEM204,ANO5,SINHCAF,ARHGEF4,DNAAF11,MERTK,AKR1C2,,PDLIM7,,PREPL,SMPD2,SPANXA2,PROP1,,LRRC18,SSTR3,,GYPA,PLAA,,GABRA6,,GALNT5,CYP2C9,CDH8,EPHX4,TMEM266,RAB1A,TOR2A,S100G,,SSX3,SART1,YRDC,,FAM181B,RFX6,SPAG11B,,CRB1,LETM2,NEK5,CPAMD8,YME1L1,LCP1,TTLL7,MYH4,CFAP57,,PSMB7,,CC2D2B,MSRB2,FAM24A,AMER2
TOB1,PSG5,CHMP7,REG3A,THOC6,VAT1L,AEBP2,STAB2,CCNT1,PLA2R1,ADAM8,,FLNA,,SLC3A1,MICAL1,C10orf62,NRIP3,,WRN,CT45A6,,FABP6,UBAP2,,GABRB2,,SCN7A,CYP2C8,DCUN1D2,LAMB2,NLGN1,ACTR2,SPTBN4,TM4SF1,,OTX2,PPP2R2D,MYL6B,,TMEM30B,ROBO2,INTS1,,CFHR5,PRKACG,ADGRA1,ANKLE1,NIPSNAP3A,SCRN1,FNBP1L,RBP3,RTL9,,RABEPK,,SAXO2,FAM171A1,PLPP4,AKR1E2
NPEPPS,PCDHA5,DOCK5,GAP43,TRAF7,LGALS4,ETFBKMT,CKAP4,PUS7L,SCN3A,ITIH2,,SLC39A10,,EMILIN1,PRADC1,SAMD13,SCUBE2,,MARCHF8,TBC1D3C,,PDCD6IP,RNF38,,FBXO38,,BLK,LOXL4,LATS2,TEX37,UGP2,SLC5A6,BRSK1,TAS1R3,,NUDT5,DPP10,SULT1A1,,ENPP7,UBOX5,FMC1,,ERN2,ZMAT4,SLC22A4,KALRN,ODF2,TNS3,BRDT,NBPF15,ACY1,,GOLGA1,,RHCE,TMEM236,HSD3B1,SSX5
SKAP1,PCDHA4,STAR,REG1B,NINJ1,LRRC34,ETNK1,VILL,KRI1,CD96,INPP1,,FAM163B,,ATRAID,SEMA4F,EFCAB7,ARL10,,TSHR,ENSG00000278646,,FAM161A,TLN1,,SPINK7,,EPRS1,ATAD1,FAM124A,KRCC1,LINGO1,PREPL,PLPP7,MAP3K2,,DACT1,CLCF1,ARL9,,P2RY8,MAFF,GBX1,,RPS15A,TMEM71,ENTPD4,TFF3,TOR1B,SPDYE1,RABGGTB,APOC4,RBMY1D,,XPA,,PARVB,PARD3,HSD3B2,SSX3
LRRC46,PCDHA1,SNTG1,EPHX4,CA6,PAH,PRICKLE1,FLNB,ILF3,ADGRF1,RNF144A,,ANXA6,,TRIM54,EGR4,LDLRAD1,PCSK1,,SUGT1,IGKV1D-12,,CNGB3,CCL21,,PCYOX1L,,IL10,CUZD1,MIA2,CD8B,RBMY1F,SLC3A1,JAML,TIGD4,,BEND7,UBQLN3,TCEAL3,,CRYGB,BRF1,ALDH7A1,,RELCH,MAMDC2,SERPINA1,TFF2,C9orf78,IGF2BP3,IFI44L,S1PR2,CFHR1,,RPL35,,SLC4A5,NRBF2,RBM20,OTX2
SSH2,PRSS1,ST18,LAMB2,NPHP4,GATM,C1RL,NEK3,SLC44A2,FRMD1,FLI1,,KRT35,,DTNB,RAB11FIP5,RHOXF2B,TBC1D10C,,PGM2L1,IGHV5-10-1,,LGALS9B,SIT1,,TNIP1,,KCTD3,CALHM2,GPM6A,PRL,BTD,EMILIN1,CD3G,NLGN2,,ATP5F1C,PNLIP,AFAP1,,BACE2,SPDYE16,BAALC,,FBH1,PRSS37,TPSB2,TFF1,TOR1A,RAC1,GIPC2,CGB1,IGKV3-15,,ARPC5L,,KRTAP24-1,A1CF,OOEP,NUDT5
SPACA3,LGALS7,RGS20,TEX37,MAP1B,SYCE1,KLRG1,RNASEH2B,CDKN2D,CYRIB,KCNJ1,,SLC6A17,,ACTR1A,SMYD5,IFIT1B,PPP2R2D,,MBL2,PRSS50,,CDK1,DMRT1,,N4BP3,,RPS6KC1,ARL3,WDR17,CEBPB,ONECUT1,ATRAID,S100A1,MYO7B,,COMTD1,UCP3,MME,,SYNM,ANKS1B,TP53INP1,,RBM17,GKAP1,IL27,RSPH1,RALGPS1,KDELR2,ARHGAP29,SSX4,RBM12,,DERL1,,TMEM198,CDHR1,SPANXA2,DACT1
ARSG,TMEM231,TRIM55,KRCC1,RHOXF2,CTPS1,VAMP1,CKAP2,KLK14,ASAP1,TMEM45B,,ADAM32,,CYP2C9,DYSF,LRIT2,DPP10,,GJB2,C2orf81,,FABP4,SPAG8,,NHP2,,ZNG1B,CEP55,SPATA4,AZU1,CTNND2,TRIM54,CXCR5,CHD3,,SLC18A2,FOSL1,HBG2,,KCNA4,SLC24A3,C9orf24,,IL2RA,HNRNPK,GUCA2A,PDE9A,NIBAN2,IL6,CLCA2,SLC6A14,IGKV1-27,,MYC,,BCL2L15,LRMDA,C10orf62,BEND7
CLTC,GARIN1A,ADHFE1,CD8B,WDR44,UTF1,CD27,THSD1,SIGLEC9,FAM81B,ACSL1,,ACSL5,,CYP2C8,CCDC142,LRRC73,CLCF1,,HEPACAM,TMEM247,,CST5,DCTN3,,BOD1,,IL1RN,KIF20B,CNDP1,TPSAB1,MUC17,DTNB,ZBTB7B,UBE2E3,,ENOX2,PRM1,LAMA2,,GABRG3,KRT76,NUDT2,,ANKRD16,SVEP1,SYNGAP1,CBS,TMOD1,ZDHHC4,DBT,SMIM17,RAD21L1,,CCN3,,OPTC,CAMK2G,EFCAB7,ATP5F1C
CHCT1,TMEM240,PSKH2,CALB2,CKMT2,EXOSC10,RBP5,LMO7,KLK8,PLEKHG4B,SLC25A4,,NEK5,,LOXL4,EMX1,TCEAL5,UBQLN3,,SKA3,ENSG00000284762,,CST2,CD72,,CPLX2,,CFC1,ENTPD1,DLG2,C1QTNF4,AHSP,ACTR1A,UBE2Q1,GPR37L1,,GHITM,RBMXL3,ZNF846,,IZUMO1,ADSS1,SYK,,CCNH,TRPV6,C5AR1,CRYAA,STXBP1,AOAH,RTCA,FAM156A,ASPRV1,,IL33,,ADRB3,ADIRF,LDLRAD1,SLC18A2
BCAS3,FAM205A,ATP6V0D2,FRMD3,ZCCHC9,RRM2,PIANP,SCEL,NGDN,C16orf89,AMN1,,ADGRA1,,STAMBPL1,KCNMB4,TCEAL6,PNLIP,,LRR1,ENSG00000284776,,EMX2,GRHPR,,TBC1D7,,SMPD4,EXOC6,PRSS23,DPAGT1,WNT10B,CYP2C9,FDPS,NSG2,,CLEC1B,EIF4E1B,ADH1B,,AP1S2,AQP12B,NIPSNAP3B,,DOCK2,FBP1,FABP12,HSF2BP,SLC2A8,BZW2,HADHB,SSX2B,C4A,,DMAC1,,SKOR1,ANKRD1,RHOXF2B,ABRAXAS2
PTRH2,TMEM88B,SYBU,SNTB1,KRT34,IFNB1,AMIGO2,SPRY2,ADCY4,TMEM251,SERP2,,SLC22A4,,ATAD1,USP15,NEU4,UCP3,,DNAAF2,CCDC39,,CST1,HINT2,,KLHL3,,WDR33,PLCE1,MTMR12,BSG,REPS2,CYP2C8,NBEAL2,SPDYE5,,TMEM52B,PRIMA1,UGT2B15,,DCAF4L1,IFITM2,NFIL3,,RERG,PGAP4,OPALIN,PDXK,ANGPTL2,TBRG4,KHK,TEX13A,HBB,,POLR1E,,CATSPER4,HTR7,IFIT1B,ENOX2
SS18,C4orf47,DPYS,TEFM,KRT33B,PRND,SCAF11,EDNRB,AJUBA,SPACA7,TDO2,,ENTPD4,,KIF11,CPM,C2orf72,ERCC4,,MAGEC3,ENSG00000284931,,SP7,ARHGEF39,,DCDC2,,GYPC,RBP4,DOCK1,HINFP,ITGAM,LOXL4,PTH1R,SERPINA6,,AK8,MSRA,WNK3,,C1S,MC2R,LETM2,,SLCO1B1,CYBB,OGDHL,CSTB,SLC31A2,DDX56,ADCY3,CTAG1A,CRYBB2,,PLAA,,TMEM201,RPP30,LRIT2,GHITM
TAF4B,FABP9,RSPO2,PRL,TOP2A,RNASEH1,COL2A1,LCP1,PARP2,ADPRHL1,PABPC3,,SERPINA1,,CUZD1,MPHOSPH6,NHSL2,SUGCT,,RPUSD4,UPK3BL2,,DCLK2,DENND4C,,SLC17A4,,GAD2,DBR1,DIXDC1,CDY1,TM4SF4,STAMBPL1,MYL3,NIPA1,,SPACA9,CREG2,TTC30B,,KIAA2012,GP1BA,PRKACG,,MYBPC3,METTL27,GSTK1,RRP1,SLC31A1,HUS1,DYNC2LI1,HSFX2,TWF2,,IL11RA,,SNTN,FRA10AC1,LRRC73,CLEC1B
IMPA2,C4orf46,MAL2,PAIP1,PPP1R1B,PRNP,INHBE,SCRN1,FOXA1,RMND5A,CCL28,,TPSB2,,ARL3,CHST5,ASAH2B,PRM1,,NOXRED1,ENSG00000285283,,KRT8,CNPY3,,H2BC1,,YME1L1,ANXA7,TEX12,CLEC12A,S100G,KIF11,PPP1R35,UBE2E1,,GFI1B,TSPEAR,SLC30A10,,PRAMEF8,PPIL6,FXN,,DDB2,MID1IP1,STMN3,TRAPPC10,TLR4,NACAD,CYP1B1,CT45A1,INSL3,,UBAP2,,ENTPD8,HABP2,TCEAL5,TMEM52B
GNAL,PSMB10,NDUFB9,C1QTNF4,PEX11B,KLF17,TPH2,TNS3,SNX6,CD8A,BEND6,,IL27,,CEP55,KIAA0513,PTPN20,RBMXL3,,CDX2,HERC3,,KRT78,KLC4,,TRIM41,,DNAJC1,FAM149B1,C2orf50,ALG14,TM4SF1,CUZD1,FCRL3,CCDC144A,,HPRT1,ARL4D,TLR7,,LIPF,TEX33,ZMAT4,,USP26,STRBP,SPN,GATD3,ZNF189,DBNL,RAB1A,ENSG00000269035,POU5F2,,APTX,,TMC3,CYP17A1,TCEAL6,AK8
C18orf21,SPDYE2,GSDMC,MACROD2,FMO5,AQP4,LGR5,SPDYE1,MIS18BP1,RPIA,TMEM132D,,GUCA2A,,KIF20B,FHOD1,AWAT1,EIF4E1B,,AMER2,ENSG00000288796,,METTL7B,KIF13A,,HIGD2A,,ODF2,PLA2G12B,DHX37,IL16,TAS1R3,CEP55,AZGP1,GYPA,,BMS1,LRRN1,ZFP62,,DAOA,KLHL33,TMEM71,,STK26,WNK2,MIB2,ITGB2,ALDOB,CCM2,PREB,CALR3,RBM14-RBM4,,RNF38,,LRRK2,INA,NEU4,SPACA9
ADCYAP1,MUC12,NAPRT,BSG,PIAS3,CYP4F11,TMTC3,CHST12,NRL,PTPRD,RABGAP1L,,SYNGAP1,,ENTPD1,CCDC102A,TAP2,MSRA,,SSX5,H2AC18,,KRT86,ZSCAN9,,RNF44,,TOR1B,ZNF365,ENKUR,ABCG4,TIGD4,KIF20B,CYP3A4,FABP6,,FUNDC2,UBE2O,HLA-DQA1,,CDY2A,GALNT17,MAMDC2,,MTNR1B,NLGN4Y,GZMM,RALGDS,STX17,MYO1G,SLC5A6,CT45A3,EPPIN-WFDC6,,TLN1,,HACD4,FUOM,C2orf72,GFI1B
MEP1B,MGAT4D,VLDLR,HINFP,FSHB,TLN2,LUM,IGF2BP3,RNASE1,CNKSR3,CFC1B,,C5AR1,,EXOC6,AGT,SPIN3,GAPT,,SSX3,ARHGAP11A-SCG5,,HARS1,PIM1,,DOK3,,C9orf78,RPS24,GPR158,CDY1B,NLGN2,ENTPD1,CYP11B1,FAM161A,,METTL17,KLHL38,GM2A,,TEX19,SPPL2C,PRSS37,,PUM1,NDUFB6,TTC30A,FTCD,FPGS,TTYH3,PREPL,CT45A10,TMEM150C,,CCL21,,CFAP126,LRRC27,CLPSL1,RET
GAREM1,SLCO6A1,NFIB,CDY1,MCCC2,ZNF217,SYCP3,RAPGEF5,CDO1,TGIF2LX,FAM168B,,FABP12,,PLCE1,CAPN9,COL15A1,CREG2,,OTX2,ENSG00000289258,,KRT75,CMTR1,,PPP1R18,,SMC2,DNA2,CACNA1C,GNB2,MYO7B,RBP4,HK3,HSPB2,,SLC39A2,UNC119B,CLPSL2,,BGN,SFTPA2,ALDH1A1,,SPOCD1,NOL6,ELANE,VAV2,BAAT,CIDEB,SLC3A1,SSX4B,SPATS1,,SIT1,,C9orf152,MTG1,ASAH2B,STK32C
PELP1,CFI,PLIN2,SPTLC3,ZSCAN5A,SCG2,ASCL1,RAC1,REEP5,ZDHHC7,HSPB8,,OPALIN,,RBP4,GLUL,TSBP1,TSPEAR,,NUDT5,ENSG00000290147,,CD14,TFAP2A,,LGSN,,KLF4,MYPN,THRB,PDZD3,TMEM154,DNAJC13,LY6K,CNGB3,,RNASE7,DENND2C,S100A2,,MXRA7,ARL15,GKAP1,,YARS1,AQP3,BCO2,PCNT,ATP6V1G1,TTC5,EMILIN1,COMMD3-BMI1,HS3ST5,,DMRT1,,KCTD21,GSTO1,PTPN20,JCAD
SLC14A1,KRT6A,CDKN2B,BPGM,USP29,ATPAF2,GAS2L3,IL6,QRICH2,CIBAR2,GEMIN6,,OGDHL,,ASCC1,STX6,AGER,A2M,,ATP5F1C,,,KRT6C,SLC22A7,,FGD2,,RALGPS1,AOX1,UEVLD,GNG12,GPR37L1,FAM149B1,VPS28,CMTM8,,NSMF,ASCL3,ADA,,LIMK2,C12orf56,SVEP1,,CDCA8,STOML2,ENPP1,S100B,GARNL3,NKX2-1,ATRAID,GAS2L2,TMEM158,,SPAG8,,SBSN,PPRC1,AWAT1,FUNDC2
SLC13A5,CNEP1R1,FBXO10,POP7,SELENOS,CYP4F22,SDSL,ZDHHC4,FOXJ1,TMPRSS11D,POU4F1,,GSTK1,,PLA2G12B,RGS8,PRRT1,UNC119B,,SLC18A2,,,SPATA24,TMEM63B,,ANO7,,NIBAN2,ATIC,TMEM86A,PRSS27,NSG2,ASCC1,RECQL4,NFRKB,,PPP1R36,MC5R,TOMM20L,,CLEC4G,ZSWIM9,TRPV6,,GNL2,BRWD3,MFAP5,ADAMTS13,MRPL50,ABHD17C,TRIM54,RASL10B,IGKV1D-37,,CD72,,NDUFA4,PDCD11,SPIN3,METTL17
MINK1,KRT81,ZNG1E,ALG14,LIN28A,DRC3,MMAB,AOAH,RHBDF2,SPHKAP,GRID2,,STMN3,,ZNF365,RNASEL,BTBD17,CHMP6,,ENOX2,,,MZB1,FRS3,,TTBK1,,STXBP1,SMARCAL1,TMEM263,SYNPO2,SPDYE5,PLA2G12B,COL26A1,FABP4,,SALL2,GPX2,PDLIM7,,SATB1,GPRIN3,ANKS6,,AGO4,ARMC3,MYH6,PIERCE1,DPM2,CIB2,DTNB,CT45A9,YJEFN3,,TMEM8B,,CGB5,ADAM12,COL15A1,NSMF
SAT2,SPDYE18,CEP78,ABCG4,RHPN2,LDHAL6B,GLTP,BZW2,ARHGEF6,KCNJ16,RIT2,,COL13A1,,RPS24,KIAA1614,DXO,MC5R,,CLEC1B,,,KRT4,TJAP1,,PNRC1,,SLC2A8,BARD1,ANK3,DNAJB7,SERPINA6,ZNF365,PPP1R16A,TMED10,,PRAP1,HSF5,FLNA,,VCX,KRT6B,FBP1,,HOOK1,CLDN2,CDC42SE1,GPSM1,TSTD2,CALCOCO2,ACTR1A,ENSG00000271254,ENSG00000250264,,ALDH1B1,,FAM111B,GAS2,TSBP1,PPP1R36
ASGR1,MFSD2B,NTRK2,CDY1B,GCH1,SYNPO,GIT2,TBRG4,MAP7D3,PID1,SETBP1,,SPN,,MYPN,NPL,HSPA1L,GPX2,,TMEM52B,,,SLC23A1,CAPN11,,RARS2,,ANGPTL2,STAT4,IPMK,INSL5,CCDC144A,RPS24,CCDC105,SMAD1,,TRUB1,SPHK1,SLC39A10,,KRTAP11-1,SV2B,PGAP4,,TUT4,LRFN5,SERPINB2,C19orf47,GABBR2,RSAD1,CYP2C9,CT45A2,KIAA1210,,HINT2,,APOD,SLC5A12,AGER,SALL2
PIK3R5,VCX3B,IDNK,CFAP53,PODNL1,REG3A,NUP58,DDX56,ASH2L,LGI4,PSTPIP2,,MIB2,,AOX1,NIBAN1,VWA7,HSF5,,PMPCA,,,KRT74,TINAG,,SCML4,,SLC31A1,MSTN,RAD9B,EFCAB3,GYPA,DNA2,MGAT4B,CST5,,CYP2C19,HMGB4,FAM163B,,PLCB1,PDE6G,CYBB,,DSC2,LRRC18,DPP4,CFAP157,HEMGN,MYCBPAP,CYP2C8,CCL5,ENSG00000250424,,FOXP4,,GAGE2A,LRRC4C,PRRT1,PRAP1
TP53,HTN3,AOPEP,PDZD3,FBXW9,GAP43,SLC7A1,HUS1,CDKN1C,DDAH1,HAUS1,,GZMM,,ATIC,PIGC,CSHL1,SPHK1,,AK8,,,KRT72,HCRTR2,,MTFR2,,TLR4,METTL5,MAT1A,TTC36,ADPRM,MYPN,PGLYRP2,CST2,,HSPA12A,PRR18,ANXA6,,NTM,DLK1,DYNLT3,,DSG3,TSHR,SERPINB13,SHKBP1,PSMB7,CHAD,MYOF,MILR1,GPR162,,KLC4,,FSCB,IMMP1L,BTBD17,TRUB1
ANAPC11,ETFRF1,PLPPR1,C2CD2L,RFX1,REG1B,PDX1,NACAD,SGO1,CHD1,C18orf25,,TTC30A,,SMARCAL1,MRPL44,LY6G5C,SMIM19,,SPACA9,,,KISS1,KIAA0319,,SLC2A12,,ZNF189,MDH1B,SLC2A13,RSPH9,FABP6,AOX1,LRWD1,EMX2,,ANKRD2,B3GNT4,ARRDC1,,IGIP,AHNAK2,STRBP,,DSG1,CFL2,ZNF433,RDH13,TRMO,DCAF7,LOXL4,DOC2B,ATP6V1E2,,PIM1,,KRT77,SAA4,DXO,CYP2C19
TBCD,DENND1C,ACTL7B,ARNT2,BRME1,EPHX4,LNX2,DBNL,RPS4Y1,DGKE,SPC25,,ELANE,,BARD1,DOCK10,NALF1,RTTN,,GFI1B,,,LONRF2,IRF4,,AIG1,,FPGS,HECW2,TWF1,COPS9,MRAP,SMARCAL1,FBXL13,CST1,,LARGE2,HSD11B2,KRT35,,TSKU,PDIA2,CLDN3,,DSC3,PGM2L1,DNAH10,SPTBN4,GOLGA1,GH2,STAMBPL1,ENSG00000272980,PRODH2,,CMTR1,,BTBD8,SCGB1A1,NXPE2,ZFYVE1
FN3KRP,GAGE1,GSN,GNG12,CC2D1A,LAMB2,SUOX,CCM2,VCY1B,CACNA2D1,PTH,,BCO2,,STAT4,USP37,APOM,HMGB4,,RET,,,HSD17B13,TUBB2A,,PNLDC1,,BAAT,IDH1,MAGI1,TCEAL1,FAM161A,BARD1,CELF5,SP7,,TTC7B,CRLF3,SLC6A17,,HOXB4,KRT79,GAPVD1,,DSC1,PHYHIPL,NMB,BRSK1,XPA,CSH1,ATAD1,GRIN2B,SHANK3,,TFAP2A,,TRIM64B,ZNF215,HSPA1L,HSPA12A
FOXK2,KLRC3,CRB2,PRSS27,TRIM21,TEX37,RDH16,MYO1G,VCY,NUS1,KCNK13,,ENPP1,,MSTN,HTR2B,TRIM64,ZBTB8OS,,DDX21,,,KRT83,LRRC1,,ZMYM4,,ATP6V1G1,OLA1,SRFBP1,AGXT,HSPB2,STAT4,FBXO27,LRRN2,,SLC39A13,RIMS2,ADAM32,,PAPPA,NTF3,NLGN4Y,,DTNA,PHOX2A,CR1L,NEK8,NCBP1,LIMD2,KIF11,TBC1D3K,IGKV1D-39,,SLC22A7,,S100A14,APIP,VWA7,FRAT1
