adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
RBM26,SLC9A3R1,MGRN1,EIF2B2,TMEM87A,PDLIM1,,TFAM,DNAJA3,PRORP,LHPP,,TNRC6B,,MINPP1,,MIER2,MRPL32,SYNGR2,ERGIC1,,CUL2,ZNF330,,SPTBN1,GAB1,,KPNA3,,ING4,CCDC61,COMMD9,GOSR1,GRB14,SMAD9,BLOC1S6,B4GALT2,,CCN4,EYA4,PHYH,,PDE4D,CTSC,RAB3GAP2,,PLA2G15,B9D1,TASOR2,SLC10A3,STRN,SET,DNAJC27,CUL2,COL1A1,ST13,,NKX3-2,JAG1,SORCS1,HS1BP3
ABHD13,TMEM104,TRADD,SUPT7L,CEP152,PHYH,,CCNY,SALL1,DCAF11,LARP4B,,SGSM3,,LZTS2,,PLEKHA4,BLVRA,B9D1,STC2,,DNAJC12,INPP4B,,AUP1,RPL34,,RGCC,,TPI1,VRK3,CD5,CCDC47,MRPL19,KBTBD7,MYEF2,ERI3,,NDRG1,SOBP,RASSF4,,SLC12A7,ZBTB16,EEF2KMT,,ESRP2,LGALS3BP,TFAM,ARMCX1,PRKD3,PTPA,STAM2,CCNY,MRPL27,EP300,,FAM149A,SNTA1,TASOR2,NDUFB3
NIPA2,IFT20,MAPK3,ATAD2B,ATP8B4,RASSF4,,TBC1D12,XYLT1,PSMA6,MTPAP,,KIAA0930,,SFXN3,,TNPO2,TMEM248,C17orf75,ZNF346,,TBC1D12,GAB1,,MRPL19,GAR1,,VWA8,,C12orf57,OLFM2,MADD,MED31,LANCL1,EXOSC8,SGK3,PIK3R3,,ARMC1,HBS1L,DNMBP,,RAD50,ELP4,UCHL3,,FA2H,DHX58,CCDC6,CANX,RAB3GAP1,GLE1,GPD2,DNAJC12,VAT1,PHF5A,,NCAPG,E2F1,SMC3,CPSF3
TCF12,CDR2L,ELMO3,YIPF4,BMF,RAB11FIP2,,GIT1,MAZ,NFKBIA,SH3PXD2A,,SLC25A17,,FBXW4,,WDR83OS,RHEB,PEX12,SMC4,,KRT23,DHX15,,FANCL,FRG1,,DGKH,,SUDS3,AKAP8,CD81,DRG2,PECR,FAM53C,ZDHHC2,BLZF1,,NCALD,TRIM38,RAB11FIP2,,ST8SIA4,FNBP4,HS1BP3,,AXIN1,RAB5C,CCNY,HIVEP3,SLC25A12,RAB14,CENPA,PBLD,ALOX12,POLR3H,,CTSC,RPRD1B,TFAM,C1orf198
ZSCAN29,RAB34,NUTF2,AFTPH,DMXL2,EIF3A,,RPL19,STX4,TM9SF1,PITRM1,,KCTD17,,NPM3,,DNASE2,PRKAG2,RAB5C,TIMMDC1,,RPL19,TRIM2,,FN1,CLCN3,,INTS6,,ST8SIA1,SYDE1,SLC35F2,ALDH3A1,UNC50,SIL1,BRF2,SLC19A2,,SNX16,FIG4,EIF3A,,SKP1,HSPA8,LDAH,,MPG,MLX,DNAJC12,PPCS,KYNU,CNTRL,CYTIP,TBC1D12,HDAC5,PMM1,,ELP4,PXMP4,CCDC6,FKBP15
BNIP2,PHF12,NUP93,LGALSL,DNAJC17,DDX50,,PSMD3,CDIPT,GMPR2,MAP3K8,,ST13,,SUFU,,LENG1,POLD2,MLX,CRBN,,FBXL20,NSD2,,GLS,TRIM2,,DHRS12,,C2CD5,POP4,SOX6,SYNGR2,USP34,PAIP2,TRIM35,FAAH,,EEF1D,ARFGEF3,SEC23IP,,PPWD1,VWA5A,NDUFB3,,WFDC1,EZH1,PBLD,FGFRL1,ATF2,NDUFA8,NRBP1,GIT1,ABCC3,DESI1,,ZPR1,CST3,CUL2,ABITRAM
ANP32A,PHOX2B,NFAT5,SLF2,EIF3J,MAPK8,,CASC3,NOMO1,PNN,GLRX3,,EP300,,LHPP,,PRPF31,GCK,EZH1,NPHP3,,PSMD3,STIM2,,PAPOLG,FBXW7,,CLN5,,PHC1,PDCD5,RPS13,B9D1,EHBP1,PLS1,ZFAND1,CNN3,,SQLE,PHACTR2,ATE1,,TRAPPC13,DNAJC4,CPSF3,,USP10,MRPL27,TBC1D12,TMEM175,THADA,HSDL2,FNDC4,UBTF,FAM20A,BRD1,,FNBP4,AHCY,CCNY,PTPA
COMMD4,TMEM33,N4BP1,MXI1,SPG11,SEC23IP,,ASPA,CCP110,RABGGTA,TASOR2,,RANGAP1,,GTPBP4,,TFPT,YKT6,PPP1R9B,NIT2,,DHX40,NKX3-2,,UNC50,TBC1D19,,OLFM4,,COX6A1,ANKRD27,TCIRG1,DHX58,TXNDC9,NR2C1,CA2,PRRC2C,,INTS10,CUTA,PPP3CB,,TXNDC15,SIAE,C1orf198,,CRISPLD2,VAT1,RPL19,EMC1,TRAK2,NR4A3,ASB3,CASC3,RANGRF,ZBED4,,DNAJC4,PPP1R16B,RPL28,GLE1
LINS1,NFKB1,ARL2BP,HELLS,VPS18,ATE1,,TUBD1,RNF40,NFATC4,SMC3,,PHF5A,,PITRM1,,PIK3R2,CLIP2,COL1A1,OGG1,,TUBD1,FAM149A,,GGCX,NSD2,,MGRN1,,ENSG00000111780,RPS16,HPS5,MLX,SF3B1,TMPO,RIPK2,ABCD3,,ERI1,BYSL,CCSER2,,WWC1,SNX15,HEATR1,,ZNF500,LRRC59,CASC3,PLA2G5,SUMO1,KDSR,PPM1G,TRIM37,WSB1,HDAC10,,SNX15,ACOT8,TBC1D12,RAB14
SCAMP2,MANBA,PLLP,AVPI1,MYEF2,NSMCE4A,,GOSR2,AAGAB,PCIF1,TFAM,,POLR3H,,SORCS1,,PDE4C,LIMK1,MRPL27,KPNA1,,KPNB1,NCAPG,,EHBP1,STIM2,,ZNF629,,RIC8B,FBL,GTF2H1,PPP1R9B,CHST10,SOCS2,NBN,DPH5,,DCTN6,FAM120B,BMPR1A,,TCERG1,UNC93B1,RAD23B,,NME4,ALOX12,RPS6KB1,HP1BP3,NFE2L2,ZBTB45,MOGS,KPNB1,SLC9A3R1,KCNK10,,DTX4,APMAP,KRT23,CNTRL
HAPLN3,ZNF330,DHODH,CAAP1,SGK3,PLEKHA1,,PNPO,LACTB,TRPC4AP,CUL2,,TRMU,,TASOR2,,ISYNA1,SLC1A1,LRRC59,ARMC8,,PNPO,UGDH,,SF3B1,NKX3-2,,TRADD,,SRSF9,GPI,POU2AF1,COL1A1,PDCL3,TNFRSF10B,DECR1,IRF6,,R3HCC1,BICRAL,MINPP1,,CSNK1A1,CPT1A,ABITRAM,,ABCC1,HDAC5,CBX1,KLF2,PLEKHA3,DCAF4,POLE4,PNPO,TMEM104,FKBP3,,ST3GAL4,RBFA,PSMD3,TRIM32
POLG,WFS1,CCL17,NUP43,BRF2,PALD1,,RPS6KB1,CORO2B,PYGB,CCNY,,DESI1,,SMC3,,COPE,FKTN,HDAC5,CEP70,,RPS6KB1,HTATIP2,,ST3GAL5,MFSD10,,MAPK3,,FGFR1OP2,YJU2,CLEC2B,MRPL27,MOB4,PPP3CC,BPNT2,RCOR3,,GSR,PPP2R5D,LZTS2,,ERGIC1,CCDC86,DYNC2I2,,NOMO3,ABCC3,PIGL,GFER,PARD3B,FCF1,STAT1,PIGL,TNFAIP1,SDR39U1,,CCDC86,USP14,CASC3,NDUFA8
MCTP2,SLC2A9,ACD,PCMT1,TRIM35,UNC5B,,CBX1,CSK,ABHD12,RPL28,,ZBED4,,TFAM,,KXD1,FSD1L,MPP2,XRN1,,CDK5RAP3,MTCH2,,CHST10,LRP2BP,,ELMO3,,KLRB1,ZFR2,KCTD10,LRRC59,PPP1R7,EPHX2,LAPTM4B,MAN1C1,,UBXN8,MRPL2,GBF1,,BNIP1,TMEM109,SET,,CIAO3,DHRS7B,PFN1,WDR24,BCL9,TTLL5,PECR,PFN1,TMEM97,RBM23,,TMEM109,VAPA,TUBD1,HSDL2
TGFB1I1,TBC1D19,POLR2C,PLEKHG1,ZFAND1,CDH23,,PIGL,TRIP4,UQCC1,ZMIZ1,,HDAC10,,CCDC6,,FKBP8,TMEM245,SLC16A6,PDCD10,,CBX1,FNBP4,,MOB4,UFSP2,,NUTF2,,RWDD1,SLC1A5,MVK,ALOX12,GORASP2,RNF170,UBE2W,RPS6KA1,,PPP2CB,PTK7,LHPP,,STC2,CHORDC1,GLE1,,ANTKMT,TMEM104,SLC25A11,MACF1,PRRX1,DLST,UNC50,SLC25A11,PHF12,PRMT5,,TRIM3,METTL4,KPNB1,NR4A3
PARN,NSD2,MMP15,TASL,CA2,SPOCK2,,GALK1,MTFMT,ZMYND8,DNAJC12,,KCNK10,,CUL2,,SUGP1,MEGF9,FAM20A,ACAP2,,PIGL,SC5D,,CHMP3,KLHL5,,NUP93,,GCNT2,CCDC9,IL23A,HDAC5,STRN,CRISPLD1,PLAT,DHDDS,,ERICH1,SRF,GTPBP4,,DBN1,ANAPC15,CNTRL,,SLC7A5,IFT20,CPD,SMARCA4,CEP104,RBM25,SF3B1,RAI1,TMEM33,AP4S1,,CHORDC1,LPIN2,CDK5RAP3,YLPM1
UQCRC2,STIM2,CYB5B,CENPL,FZD3,CCSER2,,RNF167,AP3B2,IFT52,TBC1D12,,KHNYN,,CCNY,,HPN,TRIM14,DHRS7B,NPRL2,,GALK1,VWA5A,,SMYD1,NCAPG,,NFAT5,,NEDD9,PLIN3,ATP5F1B,ABCC3,PRKD3,AKAP1,STK3,NENF,,NEFM,CUL9,SH3PXD2A,,SMC4,PANX1,TRIM32,,METRN,CDR2L,GOSR1,EMC6,FAM20B,EIF2B2,CHST10,C1QBP,DCUN1D4,VCPKMT,,ANAPC15,SMCHD1,PIGL,DCAF4
CDR2,NKX3-2,NME3,ACAT2,RIPK2,BMPR1A,,SLC25A11,IGDCC4,MYBL2,GIT1,,FKBP3,,DNAJC12,,GSK3A,SEC61B,TMEM104,GBE1,,PFN1,DNAJC4,,IL18R1,HTATIP2,,N4BP1,,MAN1A1,MRPL4,BCL7A,PRKAR1A,SLC25A12,TRIM25,RAB2A,NSL1,,TUSC3,DUSP22,PITRM1,,TIMMDC1,EIF4G2,FBXW2,,FBXO31,SUPT6H,DRG2,TUBA4A,PARK7,COQ6,PDCL3,GOSR1,CRACD,GNPNAT1,,RNF141,CEP192,GALK1,FCF1
DHX38,NCAPG,PSMD7,PDZD11,NBN,MINPP1,,RASD1,TTC23,NDRG3,RPL19,,SDR39U1,,PBLD,,ATP13A1,ECM2,SUPT6H,ATP6V1A,,RNF167,SIAE,,MLPH,ZBTB16,,ARL2BP,,SERINC1,ETFB,METAP2,YWHAE,RMDN2,TBX2,EIF3E,OSBPL9,,BNIP3L,GMDS,SORCS1,,CRBN,GALNT18,NDUFA8,,UBE2I,PHF12,FTSJ3,ECHS1,AMPD2,DNMT3A,MOB4,DRG2,LAMTOR3,CGRRF1,,EIF4G2,RNMT,PFN1,ACYP1
GCSH,HTATIP2,SETD6,MASTL,DECR1,LZTS2,,RAI1,FAH,RAB5IF,UBTF,,RBM23,,TBC1D12,,SIPA1L3,AK1,PHF12,PODXL2,,SLC25A11,SNX15,,CNPPD1,ELP4,,DHODH,,FANCE,BABAM1,LTA4H,MAP2K6,SRSF7,FAM117A,EMC2,MESD,,MAN2B1,PRPF4B,TASOR2,,ARL6,BIRC2,MAPKAP1,,ZP2,SLAIN2,AKAP10,AKAP9,HDAC1,YPEL5,CHMP3,AKAP10,MANBA,PIGH,,GALNT18,SMAD7,SLC25A11,ACOT2
CMTM3,CTSC,TANGO6,CCDC77,UBE2W,SFXN3,,NUP88,RPAP1,NFATC2,PSMD3,,PRMT5,,GIT1,,ZNF85,CDC37L1,NFKB1,SCAP,,RASD1,DTX4,,ABCB6,ZPR1,,CCL17,,MRPL18,CDC37,MAGOHB,DHRS7B,PLCL1,TMEM131L,CCN4,CTSD,,GYS1,TTK,XPNPEP1,,NPHP3,UBE4A,NR4A3,,EEF2K,DCUN1D4,SYNGR2,GNG11,CAPZA1,YIPF4,IL18R1,SYNGR2,TBC1D9,PSMA3,,UBE4A,RNF125,RASD1,DLST
MBTPS1,ZBTB16,COG4,TNFSF11,NIPAL2,GBF1,,C1QBP,HOMER2,RIMS4,TRIM37,,AP4S1,,PSMD3,,ETHE1,TBC1D13,ELF2,MRPL3,,RAI1,ST3GAL4,,PASK,FNBP4,,CTCF,,CILK1,NAPA,FOXM1,TMEM104,ORC4,TENT4B,ZC2HC1A,STK11,,CGB2,TENT5A,SMC3,,CD86,DDX6,ZBTB45,,CAPN15,LAMTOR3,RAB5C,PTPN12,RNF19B,SLF2,IL18RAP,B9D1,INPP4B,VTI1B,,DDX6,ANKRD12,NUP88,RBM25
COPS3,MTCH2,SMPD3,UFM1,IKBKB,SUFU,,CPD,TMEM87A,PFDN4,TUBD1,,VCPKMT,,CASC3,,SMG9,KANK1,TBC1D9,WDR48,,NUP88,CCDC86,,ODC1,VWA5A,,ACD,,RAB23,KDELR1,SH2B3,CDR2L,RND3,TSHZ3,ARMC1,KPTN,,ECH1,ENPP5,TFAM,,OGG1,NECTIN1,FCF1,,GSPT1,MANBA,NAGLU,MTERF1,LAMTOR2,CUTC,BIRC6,UTP6,CPE,TIMM9,,NECTIN1,MIB1,C1QBP,COQ6
MYOCD,SC5D,SLC7A6OS,ELF1,STK3,ANKRD26,,GOSR1,CEP152,CSTF1,GOSR2,,SOS2,,RNF43,,DNAJC2,FUBP3,INPP4B,RRP9,,C1QBP,TMEM109,,BIRC6,DNAJC4,,POLR2C,,ASCC3,CYTH2,CDKN1B,SUPT6H,SUMO1,ZSCAN18,SNX16,CAMSAP2,,SARS2,HARS2,CCDC6,,KPNA1,PDHX,IRF2BPL,,CLUAP1,ZNF330,MLX,PAICS,MEF2D,CNNM1,NOL10,LGALS3BP,RPL34,TMED8,,HIPK3,RBBP8,GOSR1,KLHL29
PRPSAP2,HSPA8,PLA2G15,SMAD9,RAB2A,LHPP,,CCDC47,ATP8B4,TPD52L2,PNPO,,NIN,,KPNB1,,POLR1F,RGP1,RPL34,ABHD14B,,CPD,CHORDC1,,STRN,DTX4,,MMP15,,CRYBG1,CARD8,GPRC5D,RAB34,NFE2L2,PDZRN3,GSDMD,ATF6,,CLPTM1,NUDT12,CUL2,,PCCB,ACCS,ACOT2,,EARS2,GAB1,PPP1R9B,APOL2,C1orf21,C10orf88,STRN,PEX12,ANXA10,AHSA1,,PDHX,CSTF2,CCDC47,ATAD2B
C17orf80,VWA5A,ESRP2,HSPH1,EIF3E,LARP4B,,MED31,DTWD1,DNAJC5,RPS6KB1,,PSMC6,,PNPO,,PIK3CG,MPDZ,WFS1,ARHGEF26,,GOSR1,ANAPC15,,PRKD3,DCPS,,USB1,,C6orf62,LIG1,LTBR,PHF12,SPR,NAA50,EEF1D,B4GALT6,,RELB,SEMA5A,CCNY,,ARMC8,MADD,TTLL5,,ELOB,RPL34,MRPL27,APOBEC3A,SWT1,AVPI1,PRKD3,DHX58,CLCN3,DAAM1,,COMMD9,ATG4A,DRG2,YPEL5
SCRN2,DNAJC4,WDR59,EXOSC8,EMC2,GTPBP4,,FTSJ3,GABPB1,CTSZ,CDK5RAP3,,GNPNAT1,,RPS6KB1,,PON2,EDF1,FRG1,VIPR1,,CCDC47,PANX1,,RAB3GAP1,PPP6R3,,CYB5B,,EYA4,RAB3D,OAS2,DCUN1D4,CEP104,PILRB,ERI1,C1orf54,,CLASRP,HMGCS1,RPL28,,XRN1,PTPMT1,DLST,,GGA2,GRPEL1,VAT1,SPECC1,MAD2L2,ARMH3,QPCT,RAB5C,NSD2,ISM2,,AMBRA1,TBL1X,FTSJ3,YIPF4
ABCA8,SNX15,MON1B,FAM53C,CCN4,SH3PXD2A,,C17orf75,BMF,PRPF6,CBX1,,CGRRF1,,PIGL,,HBP1,PIP5K1B,CLCN3,SSR3,,DRG2,ARHGEF17,,RMDN2,MS4A6A,,PSMD7,,SOBP,TMEM205,ARHGDIB,USP46,FAM20B,TBC1D15,SLC39A14,HMGN3,,PPP1R37,DAP,DNAJC12,,ACAP2,CARS1,NRDE2,,USP31,CLCN3,LRRC59,LSM8,IVNS1ABP,HOXB3,RAB3GAP1,NAGLU,STIM2,RIN3,,CARS1,PGRMC1,AKAP10,AFTPH
RPRD1A,UNC93B1,CMC2,GLT8D2,NDRG1,PITRM1,,ASIC2,DMXL2,TUBB1,GALK1,,PSMA3,,PFN1,,DUS4L,GLIS3,FBXW7,ZBTB47,,FTSJ3,CEP164,,SRSF7,MS4A4A,,SETD6,,HBS1L,BCAT2,DDX55,LAMTOR3,TMEM59,ZCCHC17,LEPROTL1,PHF3,,PPP1R13L,BRD8,PBLD,,NPRL2,SLC35F2,SUPT7L,,HMOX2,DHX15,ALOX12,PRKRIP1,WLS,CD274,SLC25A12,MLX,NKX3-2,ALKBH1,,CALCA,POLA1,ALDH3A1,LGALSL
GALNT1,ST3GAL4,AXIN1,PPP3CC,ZC2HC1A,GLRX3,,RAB5C,SCG3,PRELID3B,PFN1,,VTI1B,,SLC25A11,,SP4,BAG1,NSD2,NKTR,,SYNGR2,GALNT18,,SOS1,CPT1A,,SLC38A7,,TRIM38,MIER2,RERGL,NFKB1,WRAP73,ZNF639,DCTN6,FBXO30,,ERCC2,MRPS30,GIT1,,FXR1,NDUFS8,ATAD2B,,DNAJA3,SOD3,HDAC5,CALU,UCHL5,NUP43,DARS1,PPP1R9B,UFSP2,CHGA,,CHKA,MID1,SYNGR2,BCL11A
RMC1,CCDC86,NPRL3,AKAP1,ARMC1,TASOR2,,MLX,DNAJC17,PSMA7,SLC25A11,,TIMM9,,C1QBP,,CBLL1,PTGDS,SH3D19,FOXP1,,B9D1,UBE4A,,ORC4,CCDC86,,VAC14,,FIG4,PLEKHA4,RFC5,TBC1D9,PARK7,PDS5A,GSR,TNFAIP3,,PLEKHJ1,APBB3,CASC3,,BBX,TCIRG1,YIPF4,,SALL1,TBC1D19,ABCC3,SMO,SRSF11,PCMT1,PLCL1,MRPL27,FAM149A,DHRS7,,P3H3,NKAP,B9D1,SLF2
ARHGDIA,TMEM109,MLYCD,COIL,SNX16,SMC3,,CNTNAP1,EIF3J,SLCO4A1,RASD1,,GSTZ1,,CPD,,MTPN,ABCA2,NKX3-2,ADAM23,,C17orf75,HIPK3,,KISS1R,PRPF19,,HAS3,,SLC39A7,WDR83OS,RAB5B,ZNF330,SRSF4,LIAS,UBXN8,AKAP7,,SLC17A7,TMCO6,RGS9,,IFT57,HPS5,SLF2,,RBL2,NSD2,SLC16A6,NDUFA5,PLEKHM2,PLEKHG1,SLC1A4,VAT1,NCAPG,PPM1A,,PRPF40B,ALG13,UTP6,CUTC
SLC16A3,CHORDC1,MPG,TBX2,GSDMD,TFAM,,ABI3,BLOC1S6,GID8,RAI1,,KIAA0586,,FTSJ3,,GSDME,SHB,MFSD10,MOB1A,,RAB5C,PDHX,,SUMO1,TMEM109,,TANGO6,,PHF1,GCDH,CNOT2,INPP4B,MECR,CLCC1,PPP2CB,RAB32,,OAZ1,IK,KPNB1,,GNB4,GTF2H1,PYROXD2,,XYLT1,STIM2,YWHAE,TWSG1,CRYZ,GORAB,SOS1,HDAC5,ELP4,GALNT16,,PRDM4,TLR8,C17orf75,PPP1R3C
CSNK1D,PANX1,COTL1,NCAPH,GFUS,CCDC6,,PPP1R9B,SGK3,ARFGAP1,NUP88,,SAMD15,,AKAP10,,OGDH,EXOSC3,UFSP2,KANSL3,,EZH1,COMMD9,,NFE2L2,RNF141,,COG4,,CUTA,PRPF31,TIMELESS,RPL34,EDEM3,GPSM2,ERICH1,SLC16A7,,TRMT1,HMGCR,PNPO,,GBE1,P3H3,MXI1,,PYCARD,NKX3-2,RANGRF,EIF2AK4,ZBTB17,ACAT2,KYNU,ABCC3,MTCH2,CEP128,,COQ5,MOSPD1,PEX12,MXI1
RPTOR,RNF141,CRISPLD2,MND1,SQLE,CCNY,,MRPL27,ZDHHC2,CDC25B,C1QBP,,AHSA1,,SYNGR2,,TFEC,ZFAND5,KLHL5,RTKN,,PPP1R9B,SLC15A3,,MSH6,EIF4G2,,SLC7A6OS,,BYSL,TFPT,MRPL51,GRPEL1,CAPZA1,ACVR2A,ASAH1,RPN2,,STX10,CLK4,RPS6KB1,,C3orf52,PRPF40B,TCTN3,,MAZ,BST1,WSB1,TTBK2,NR5A2,MSANTD2,WIPF1,SMURF2,SC5D,ERH,,KCTD10,STAG2,RAB5C,HELLS
DUS3L,EIF4G2,ZNF500,ADCY7,SH2D4A,RPL28,,LRRC59,BRF2,RNF24,CPD,,DAAM1,,UTP6,,H2AZ2,DVL1,FAM149A,STEAP3,,MRPL27,ACCS,,SPR,BIRC2,,PLA2G15,,FAM120B,PIK3R2,GAPDH,TRIM2,S100PBP,RASL11A,BNIP3L,RARRES1,,TBC1D17,RNF130,CDK5RAP3,,FRMD4B,PRDM4,AVPI1,,STX4,KLF3,TMEM104,ALDH1A2,KIF21B,KIAA1217,ORC4,FAM20A,B3GAT1,HIF1A,,MVK,PLS3,MLX,AVPI1
SIRT3,GALNT18,NME4,PLBD1,ERI1,DNAJC12,,MPP2,TRIM35,ARFRP1,GOSR1,,ALKBH1,,RAB5C,,CAV1,PDLIM1,NCAPG,TP53I3,,VAT1,AMBRA1,,FARSB,HIPK3,,WDR59,,DNPH1,CRTC1,BLTP3B,NSD2,RHOU,MTERF4,MAN2B1,RAB3GAP2,,PTOV1,ARSB,PIGL,,ABTB1,COQ5,WDR11,,BCKDK,KLHL5,TNFAIP1,KNSTRN,EXOC8,CCDC77,PLEK,RANGRF,HSPA8,SUSD6,,CSRNP2,NAA10,PPP1R9B,ARMH3
HUNK,UBE4A,ABCC1,PYROXD1,R3HCC1,GIT1,,SMURF2,ZFAND1,NDUFAF5,CCDC47,,CHGA,,MLX,,MET,HPS1,CTSC,CYTIP,,LRRC59,PTPMT1,,DNAJC16,PDHX,,CMC2,,DUSP22,COPE,COPS7A,NKX3-2,LAMTOR2,KIAA1191,GYS1,PCDH17,,C19orf53,CLINT1,PFN1,,PODXL2,CORO1C,ARMH3,,NOMO1,NCAPG,SUPT6H,ISLR,SIPA1L2,TAF12,ATF2,MAP2K6,VWA5A,SRSF5,,CAMKK2,RENBP,COL1A1,GNA13
SOD1,HIPK3,NOMO3,KCNJ8,GSR,PSMD3,,FAM20A,FZD3,RASSF2,MED31,,DHRS7,,EZH1,,LMBR1,PHYH,ZPR1,TANC1,,HDAC5,CARS1,,MORN1,SLC1A2,,AXIN1,,GMDS,DDX49,USP5,FAM149A,SWT1,COPA,ECH1,LDAH,,TIMM44,TTC1,RNF167,,MRPL3,SLC11A2,GOT1,,TMC5,UGDH,PHF12,TPH1,KCNQ4,UFM1,SUMO1,TMEM104,DNAJC4,EIF5,,PPM1H,ELF4,ABCC3,KANSL1
SIK1,PDHX,CIAO3,PSPC1,UBXN8,CASC3,,YWHAE,NBN,CSNK2A1,B9D1,,PPM1A,,PPP1R9B,,DNAJB6,RASSF4,FNBP4,NRBP1,,SMURF2,C11orf58,,SCP2,ACCS,,HCFC1R1,,VEGFA,ARMC6,GNPTAB,UGDH,MAD2L2,SERAC1,SARS2,TJP2,,CCDC61,CCNG1,SLC25A11,,HEMK1,MVK,GNA13,,CCP110,HTATIP2,TMEM33,DCTD,AKT3,WBP4,NFE2L2,IFT20,OSBP,DICER1,,METAP2,FMR1,SMURF2,HOXB3
AKT1,COMMD9,CLCN7,ZNF549,PPP2CB,DHX40,,RANGRF,BPNT2,CDS2,UTP6,,CEP128,,COL1A1,,HOXA6,EIF3A,DNAJC4,FNDC4,,SLC16A6,TCIRG1,,FAM20B,MADD,,COTL1,,PRPF4B,LSR,C12orf57,HTATIP2,IVNS1ABP,ANXA11,CLPTM1,CPSF3,,VRK3,GOLPH3,RASD1,,CISH,ATP5F1B,KANSL1,,RNF40,CTSC,DCUN1D4,FXR2,ETV3,ELF1,MSH6,TMEM97,UNC93B1,MTHFD1,,LTA4H,SLC35A2,RANGRF,CAAP1
ADAMTS10,MADD,HAGHL,NAA50,TUSC3,KPNB1,,MAP2K6,LAPTM4B,SEC23B,LGALS3BP,,SUSD6,,MRPL27,,BRAT1,TRDMT1,SNX15,SNX17,,FAM20A,HPS5,,LRRC42,CARS1,,USP10,,ERBIN,KXD1,SUDS3,CTSC,SMG7,SHLD2,RELB,PTPA,,PPP6R1,TARS1,RAI1,,WDR48,PTGES3,CAAP1,,AAGAB,ZPR1,SULT1E1,PHF20L1,SDHB,FAM53C,SPR,CDR2L,DCPS,TCL1A,,MAGOHB,EMD,DPH1,NUP43
CARM1,PTPMT1,METRN,CD80,BNIP3L,PNPO,,DHRS7B,UBE2W,FERMT1,PEX12,,SRSF5,,ABCC3,,IQCE,DDX50,DTX4,ASB3,,RANGRF,PRPF40B,,ATP5PB,AIP,,CRISPLD2,,HARS2,FKBP8,GOLT1B,ELP4,UCHL5,PRXL2A,CLASRP,GLE1,,MED26,SLC12A7,C1QBP,,COMMD2,BCL7A,NUP43,,LACTB,FNBP4,LAMTOR3,ADCY4,RBBP5,PAIP2,EPHA4,PHF12,ST3GAL4,TELO2,,TRPV4,TAFAZZIN,DHRS7B,PLEKHG1
PSMB6,CARS1,FBXO31,KIF18A,MAN2B1,GALK1,,TMEM104,NIPAL2,PDYN,DHX58,,DICER1,,SMURF2,,VIPR2,SEC23IP,OSBP,PPM1G,,DPH1,PRDM4,,CAPZA1,NDUFS8,,TSC2,,CEP72,HPN,LDHB,MTCH2,BCAS2,NAA60,PPP1R37,RAB14,,AKAP8,ST8SIA4,CPD,,VIPR1,ACSS3,PLEKHG1,,CORO2B,VWA5A,NFKB1,BCL2L2,GBP3,EGR1,BCL9,TMEM33,CCDC86,PCNX1,,ARPC3,PGK1,TMEM104,PCDHB10
ZNF473,C11orf58,NUBP1,PEX16,GYS1,PFN1,,IFT20,STK3,PLCB4,RAB5C,,ZFYVE21,,FAM20A,,TSPAN12,ATE1,UNC93B1,IFIH1,,MAP2K6,COQ5,,S100PBP,GTF2H1,,ZNF500,,TENT4A,GSK3A,PRKAB1,FNBP4,CRYZ,RPL5,PPP1R13L,CNTRL,,ILVBL,SKP1,GOSR1,,ZBTB47,PPM1H,CENPL,,CTSH,DNAJC4,MANBA,MIS18BP1,CDK18,TMPO,PRRX1,DCUN1D4,TRIM3,BDKRB1,,GPN3,MAGT1,CDR2L,CENPL
NOSIP,NDUFS8,UBE2I,PILRB,ECH1,SLC25A11,,CDR2L,GDAP1,TM9SF4,EZH1,,MTHFD1,,YWHAE,,SSBP1,PLEKHA1,CCND1,GRB14,,TMEM104,SLC11A2,,RNF19B,PSMD9,,ABCC1,,DAP,ATP13A1,HCFC2,SC5D,ZBTB17,ODF2L,PLEKHJ1,GALNT12,,URI1,C5orf15,MED31,,EIF4G1,ELK3,MSANTD2,,TTC23,SIAE,ZNF330,EPB41L4A,ECE1,GLT8D2,CACYBP,LAMTOR3,CHORDC1,GSKIP,,VPS29,EEA1,RAB34,GORAB
